sire,IV,A/E,PRB,PRB2
Sillery (USA),1.321,1.011,0.561,0.411
Danzero (AUS),1.216,0.974,0.517,0.373
Fusaichi Pegasus (USA),1.775,0.9,0.548,0.411
Lugana Beach (GB),0.74,0.813,0.433,0.282
Be My Guest (USA),0.968,0.779,0.538,0.382
Perryston View (GB),0,0,0.321,0.182
Superior Premium (GB),0.968,0.818,0.479,0.326
Beckett (IRE),0.398,0.454,0.384,0.236
Pleasant Tap (USA),2.789,1.356,0.609,0.486
Lujain (USA),0.858,0.811,0.472,0.327
Polar Prince (IRE),0.924,0.869,0.508,0.35
Key Of Luck (USA),0.802,0.813,0.434,0.289
Gold Away (IRE),0.894,0.515,0.668,0.522
Sure Blade (USA),0.83,0.754,0.485,0.334
Lear Fan (USA),1.285,0.846,0.562,0.415
Opening Verse (USA),1.073,1.042,0.535,0.376
Dominion (GB),1.162,1.88,0.426,0.276
Desert Story (IRE),0.946,0.903,0.47,0.323
Almaty (IRE),0.83,0.915,0.472,0.312
Easycall (GB),0.258,0.408,0.458,0.293
Kissin Kris (USA),0,0,0.2,0.06
Rambling Bear (GB),1.245,2.2,0.394,0.264
Namid (GB),1.247,0.956,0.493,0.351
El Prado (IRE),0.801,0.784,0.426,0.286
Terimon (GB),0.505,0.491,0.414,0.274
Anitas Prince (GB),1.417,1.556,0.41,0.296
Bold Fact (USA),0.68,0.668,0.482,0.324
Mukaddamah (USA),0.636,0.632,0.454,0.303
Gothenberg (IRE),0.684,0.752,0.427,0.253
Fort Morgan (USA),0.775,0.925,0.36,0.237
Silver Patriarch (IRE),0.963,0.943,0.426,0.291
Xaar (GB),1.135,0.941,0.437,0.297
Suave Dancer (USA),0.283,0.293,0.358,0.22
Southern Halo (USA),0.453,0.385,0.484,0.323
Factual I (USA),0.408,0.678,0.351,0.215
Sinndar (IRE),1.339,1.002,0.55,0.395
Timber Country (USA),0.738,0.607,0.471,0.317
Highest Honor (FR),1.064,0.715,0.515,0.382
Mozart (IRE),1.373,0.836,0.564,0.418
Lando (GER),2.004,1.471,0.558,0.425
Tactical Cat (USA),0,0,0.383,0.208
Golden Snake (USA),0.332,0.425,0.483,0.331
Soviet Star (USA),1.04,0.871,0.477,0.326
Tomba (GB),0.885,0.983,0.449,0.322
Carrowkeel (IRE),0.423,0.591,0.392,0.249
Emarati (USA),0.816,0.718,0.522,0.365
Dont Forget Me (IRE),1.162,1.21,0.51,0.344
Pips Pride (GB),0.85,0.65,0.531,0.353
Dayjur (USA),1.409,0.918,0.525,0.386
Clantime (GB),0.519,0.589,0.493,0.324
Josr Algarhoud (IRE),1.169,0.895,0.533,0.38
Puissance (GB),0.631,0.599,0.409,0.269
Miswaki (USA),0.811,0.606,0.488,0.331
Tamure (IRE),0.883,0.853,0.548,0.377
High Estate (GB),0.596,0.567,0.418,0.261
Galileo (IRE),1.453,1.018,0.609,0.46
Thunder Gulch (USA),2.034,1.481,0.509,0.382
Raise A Grand (IRE),0.535,0.587,0.441,0.285
Daawe (USA),0,0,0.464,0.294
Tanodaman (GB),0,0,0,0
Weldnaas (USA),0.337,0.299,0.528,0.381
Sir Cat (USA),2.051,1.58,0.627,0.48
Ardkinglass (GB),0.43,0.467,0.372,0.228
Elmaamul (USA),0.596,0.523,0.499,0.348
Petardia (GB),0.844,0.84,0.439,0.286
Sunshine Forever (USA),0,0,0.262,0.096
Bin Ajwaad (IRE),0.786,0.652,0.545,0.396
Tamarisk (IRE),0,0,0.453,0.289
Farfelu (GB),0.775,0.7,0.592,0.427
Pyramus (USA),1.379,1.321,0.517,0.381
Nicolotte (GB),0.934,0.759,0.499,0.354
Silver Hawk (USA),1.119,0.68,0.498,0.352
Deputy Minister (CAN),0.75,0.514,0.497,0.355
King Charlemagne (USA),0.495,0.383,0.477,0.319
Giants Causeway (USA),2.12,1.142,0.574,0.437
Kings Best (USA),1.57,0.868,0.565,0.423
Affirmed (USA),0.208,0.196,0.539,0.371
Great Marquess (GB),0.968,1.007,0.463,0.332
College Chapel (GB),0.932,0.709,0.479,0.346
Montjeu (IRE),1.477,0.863,0.571,0.425
Behrens (USA),2.905,2.275,0.663,0.517
Silic (FR),0,0,0.166,0.055
Hunting Lion (IRE),1.395,1.095,0.519,0.378
Labeeb (GB),0,0,0.479,0.31
Indian Danehill (IRE),1.388,0.95,0.557,0.41
Zinaad (GB),0.726,0.717,0.497,0.33
Swain (IRE),1.107,0.827,0.513,0.356
Kayf Tara (GB),0.908,1.811,0.41,0.263
Fruits Of Love (USA),1.056,1.19,0.462,0.302
Forest Wildcat (USA),0.85,0.67,0.442,0.297
Blues Traveller (IRE),0.384,0.413,0.456,0.307
Laroche (GER),0.968,0.863,0.553,0.399
St Jovite (USA),1.937,2.323,0.511,0.345
Contract Law (USA),0,0,0.13,0.051
Takhlid (USA),1.367,1.439,0.477,0.357
Danehill (USA),1.619,0.891,0.563,0.422
Fantastic Light (USA),1.479,1.061,0.515,0.364
Arkadian Hero (USA),0.775,0.816,0.399,0.253
Erhaab (USA),0.617,0.76,0.399,0.262
Jahafil (GB),0.484,0.703,0.43,0.287
Kingmambo (USA),1.388,0.767,0.58,0.423
Band On The Run (GB),1.162,0.992,0.524,0.377
Medicean (GB),1.526,1.343,0.542,0.387
Stormin Fever (USA),1.291,0.589,0.5,0.378
