dam,IV,A/E,PRB,PRB2
La Miserable (USA),0,0,0.468,0.303
Leap Of Faith (IRE),0,0,0.368,0.207
Another Rainbow (IRE),1.453,1.129,0.546,0.414
Londonnet (IRE),0,0,0.372,0.236
Tick Tack GB,1.937,1.256,0.45,0.332
Shark Games GB,0.894,0.619,0.504,0.328
Emerald Dream (IRE),0.505,0.594,0.369,0.227
Bardia GB,0,0,0.201,0.071
Ring Of Light I GB,0,0,0.086,0.019
Cladantom (IRE),2.324,1.823,0.586,0.427
Distinctly Laura (IRE),0,0,0.385,0.265
Parkside Prospect GB,0,0,0.349,0.187
Compton Amber GB,0.93,0.64,0.47,0.33
Indian City GB,0.894,1.299,0.33,0.19
Pam Story GB,0,0,0.137,0.034
Starlust GB,1.291,1.155,0.537,0.359
Food Of Love GB,0,0,0.501,0.339
Prime Interest (IRE),0.646,0.8,0.438,0.275
Laleston GB,0,0,0.772,0.613
Portelet GB,0,0,0.503,0.336
Star Actress (USA),1.162,1.747,0.466,0.325
Natural Pearl GB,0.894,0.913,0.541,0.369
Gem Of Gold GB,0.684,0.577,0.594,0.413
Penrose (IRE),1.367,1.378,0.581,0.431
Victorias Secret (IRE),1.223,1.047,0.478,0.304
Always On My Mind GB,0.894,0.46,0.62,0.458
Mayada (USA),0.894,0.996,0.335,0.202
Crisp And Cool (USA),3.32,2.756,0.515,0.378
Safari Park GB,1.056,1.367,0.409,0.248
Saik (USA),0,0,0.1,0.03
Prairie Flame (IRE),4.842,2.133,0.762,0.649
Leave At Dawn GB,1.937,1.163,0.727,0.565
Macca Luna (IRE),1.788,1.68,0.528,0.362
Rubbiyati GB,0,0,0.378,0.2
Blaine (USA),2.583,1.131,0.787,0.663
Telemania (IRE),0,0,0.475,0.286
Brigadiers Bird (IRE),0,0,0.475,0.276
Premier Place (USA),0,0,0.136,0.037
Secret Dance GB,0,0,0.262,0.117
Dixie Eyes Blazing (USA),0,0,0.244,0.093
Blue Vista (IRE),1.937,1.211,0.748,0.599
Lady Of The Night (IRE),0.894,0.58,0.722,0.587
Manhattan Diamond GB,1.011,0.78,0.638,0.463
Divine Elegance (IRE),0.968,0.781,0.655,0.497
Jubilee Place (IRE),1.395,1.307,0.581,0.428
Lonely Street GB,0,0,0.519,0.325
Sulalat GB,0.528,0.373,0.662,0.484
New Rochelle (IRE),0,0,0.298,0.12
Mahabba (USA),0,0,0.564,0.366
Shamasiya (FR),0,0,0.391,0.237
Douce Maison (IRE),0.415,0.253,0.545,0.383
Mobilia GB,0,0,0.506,0.329
Northern Life (IRE),2.324,1.492,0.632,0.458
Nevita GB,0,0,0.496,0.344
Almasa GB,0,0,0.414,0.22
Aonach Mor GB,0.553,0.692,0.435,0.274
Margarets First GB,0.581,0.612,0.453,0.308
Latina (IRE),0,0,0.318,0.117
Ghost Dance (IRE),0,0,0.469,0.246
Titchwell Lass GB,1.291,0.918,0.499,0.343
Try Vickers (USA),1.011,1.217,0.445,0.284
Furiella GB,1.453,0.904,0.566,0.408
Legally Delicious GB,0,0,0.435,0.268
Challanging GB,0,0,0.218,0.048
Wallflower GB,1.835,1.415,0.605,0.463
Miss Mercy (IRE),2.324,1.178,0.636,0.498
Kangra Valley GB,1.056,0.761,0.526,0.376
French Gift GB,1.096,0.958,0.566,0.39
Ghzaalh (USA),0,0,0.636,0.436
Festival Sister GB,0.528,0.785,0.456,0.292
Louisville Belle (IRE),0,0,0.481,0.328
Ivory Bride GB,1.134,0.926,0.562,0.41
Brockton Flame GB,0.894,0.758,0.562,0.389
Moona (USA),0,0,0.538,0.34
Charnwood Queen GB,0.775,0.759,0.541,0.394
Madam Millie GB,2.49,1.84,0.549,0.425
Amtico GB,0,0,0.276,0.189
Fairywings GB,1.162,0.674,0.698,0.543
Tribal Lady GB,1.66,1.126,0.648,0.5
Girl Next Door GB,0.726,0.642,0.558,0.393
Queen Caroline I (USA),0.968,0.676,0.502,0.355
Mint Crisp (IRE),2.905,1.422,0.703,0.55
On Tiptoes GB,1.743,2.242,0.51,0.364
At Amal (IRE),0,0,0.133,0.039
Calamanco GB,0.726,0.698,0.582,0.403
Childs Play I (USA),0,0,0.535,0.392
Norcroft Joy GB,1.453,1.211,0.554,0.436
Faraway Lass GB,0.581,0.5,0.476,0.321
New Sensitive GB,0.861,1.395,0.27,0.155
First Nadia GB,1.291,0.867,0.324,0.187
Cos I Do (IRE),0,0,0.681,0.485
Amber Gambler (ITY),0,0,0.304,0.153
Mechilie GB,0,0,0.13,0.036
Ultra Finesse (USA),0,0,0.321,0.192
Demolition Jo GB,1.66,2.629,0.406,0.303
Queen Molly GB,0,0,0.427,0.275
Dawn GB,0,0,0.416,0.273
Bird Of Time (IRE),0,0,0.464,0.271
Counterplot (IRE),1.367,1.204,0.492,0.337
Dama De Noche GB,2.179,2.387,0.568,0.406
Kirri (IRE),0,0,0.359,0.15
Baileys By Name GB,0,0,0.326,0.141
Light Hand GB,0,0,0.389,0.281
Prima Silk GB,1.162,0.77,0.364,0.25
Twilight Time GB,1.453,1.054,0.586,0.442
Tachelle (IRE),1.453,1.073,0.542,0.411
Sally Slade GB,0,0,0.564,0.376
Capable Kate (IRE),0,0,0.413,0.223
Fancier Bit GB,3.576,3.049,0.505,0.402
Kastaway GB,0,0,0.38,0.213
Eschasse (USA),3.874,1.627,0.697,0.573
Admonish GB,0.968,1.142,0.433,0.276
Rose n Reason (IRE),1.162,1.045,0.616,0.45
Brave Cat (IRE),0,0,0.221,0.065
Abir GB,0,0,0.462,0.364
Winchester Queen (IRE),1.453,1.124,0.427,0.298
Abeyr GB,0.684,0.538,0.505,0.345
Agama (USA),0,0,0.486,0.278
Alajyal (IRE),0,0,0.251,0.118
Key Partner GB,0,0,0.283,0.114
Marjories Orchid GB,0,0,0.305,0.095
Dustys Darling GB,0,0,0.285,0.107
Heavenly Abstone GB,0,0,0.47,0.28
Fateful (USA),2.682,1.869,0.666,0.518
Sakha GB,0.968,0.829,0.432,0.305
Princes Feather (IRE),0,0,0.494,0.342
Hazy Kay (IRE),0,0,0.605,0.475
Epsilon GB,0,0,0.124,0.027
Distant Music GB,0.567,0.494,0.554,0.387
Cool Gales GB,1.409,0.789,0.525,0.352
On The Top GB,0,0,0.433,0.274
Queen Of The Keys GB,0,0,0.419,0.27
Sulitelma (USA),1.937,1.453,0.542,0.404
Countess Maud GB,1.66,2.188,0.472,0.385
Persian Secret (FR),1.66,0.836,0.61,0.419
Hariyana (IRE),0,0,0.555,0.339
Soviet Maid (IRE),0,0,0.386,0.237
Ciubanga (IRE),0,0,0.42,0.24
Cayla GB,0,0,0.473,0.281
Awtaar (USA),1.056,1.282,0.486,0.34
Beryl GB,0.894,0.849,0.452,0.282
Percys Lass I GB,4.226,1.87,0.744,0.645
Style N Elegance (USA),0.83,0.77,0.398,0.269
Oriel Girl GB,0,0,0.589,0.387
Poyle Amber GB,0,0,0.335,0.173
Gigetta (IRE),1.453,2.075,0.326,0.204
Miss Whittingham (IRE),0,0,0.371,0.233
Bollin Ann GB,0.726,0.788,0.535,0.385
Midnight Orchid (IRE),0,0,0.273,0.074
Ever So Lonely GB,0,0,0.286,0.162
Mystique Smile GB,0,0,0.273,0.171
Confidante (USA),4.226,1.06,0.896,0.815
Petite Maxine GB,2.421,1.528,0.608,0.474
Datura GB,0,0,0.441,0.232
The Manx Touch (IRE),1.291,1.183,0.616,0.446
Black Jack Girl (IRE),0,0,0.464,0.217
Legal Opinion (IRE),3.874,1.641,0.688,0.562
Cappuchino (IRE),0,0,0.088,0.028
Bo Babbity GB,2.583,2.2,0.542,0.419
Art Duo GB,1.341,1.373,0.622,0.462
Talighta (USA),0.894,0.606,0.512,0.374
Payvashooz GB,0.401,0.591,0.465,0.306
Tribal Mischief GB,0,0,0.387,0.183
Hello HobsonS (IRE),0.484,0.535,0.352,0.195
Dollar Magic GB,0,0,0.312,0.14
Superstream GB,0.85,0.93,0.455,0.297
Simmies Special GB,1.291,1.028,0.466,0.334
Gussy Marlowe GB,1.011,1.059,0.469,0.332
Maiyria (IRE),0,0,0.284,0.154
Seranda (IRE),1.162,1.328,0.366,0.194
Toshair Flyer GB,0.646,0.718,0.515,0.352
Pollys Link (USA),0,0,0.125,0.035
Katy-Q (IRE),1.453,1.013,0.658,0.49
Quiz Time GB,0,0,0.635,0.479
Carranita (IRE),0,0,0.396,0.209
Virgin Stanza (USA),0,0,0.485,0.326
Claustra (FR),0,0,0.274,0.099
Jayess Elle GB,0,0,0.442,0.256
Elegant Ridge (IRE),0,0,0.388,0.231
Mylania GB,0,0,0.452,0.277
Glass GB,1.291,0.597,0.682,0.494
Danaide I (FR),0,0,0.699,0.543
Bridge Pool GB,1.291,0.898,0.672,0.488
Tracis Castle (IRE),0,0,0.386,0.223
Abstone Queen GB,0,0,0.122,0.05
Muffle GB,0,0,0.475,0.279
DeliciousI GB,0.505,0.55,0.449,0.299
Duxyana (IRE),0.484,0.854,0.441,0.272
Fantasy Flight GB,0,0,0.245,0.092
Pounelta GB,0,0,0.102,0.04
Ceannanas (IRE),3.874,1.92,0.919,0.849
Ladykirk GB,0.447,0.484,0.49,0.334
Sunday Bazaar (USA),0,0,0.408,0.258
Eye SightI GB,0.664,0.851,0.459,0.295
Cookawara (IRE),0.447,0.467,0.632,0.473
Cwm Deri (IRE),0,0,0.379,0.19
Velvet Habit GB,0,0,0.283,0.081
Victoria GB,0,0,0.238,0.11
Lili Cup (FR),0,0,0.453,0.26
Lavernock Lady GB,1.341,1.009,0.51,0.379
Irina (IRE),2.324,1.362,0.683,0.583
Embroidery GB,0,0,0.262,0.131
Needwood Truffle (IRE),0,0,0.502,0.305
Minskip Miss GB,0,0,0.411,0.277
Bouchra (IRE),0,0,0.426,0.228
Bint Baddi (FR),0,0,0.305,0.168
Partys At Home (USA),0,0,0.2,0.06
Bayrami GB,0,0,0.154,0.04
Quatredil (IRE),0,0,0.258,0.097
Primulette GB,3.874,2.447,0.662,0.592
Florentynna Bay GB,1.835,1.564,0.521,0.379
Give Warning (IRE),0,0,0.478,0.347
Kuwah (IRE),0,0,0.485,0.313
Splendid (IRE),1.162,0.5,0.65,0.504
Kunuz GB,0,0,0.54,0.384
Style Parade (USA),2.324,2.78,0.479,0.357
Chine GB,0,0,0.537,0.445
Speed To Lead (IRE),2.583,1.193,0.556,0.398
Eljazzi GB,0,0,0.581,0.364
Papaha (FR),0,0,0.519,0.345
Laura Margaret GB,2.214,1.013,0.583,0.444
Restandbethankful I GB,0,0,0.471,0.31
Night Spirit (IRE),1.55,0.966,0.564,0.382
Out On Her Own GB,1.937,1.505,0.736,0.621
Lyphard Belle GB,0,0,0.544,0.369
Nest Egg GB,0,0,0.534,0.317
Danzig Craft (IRE),0,0,0.176,0.052
Harryana GB,0,0,0.474,0.277
Katherine Gorge (USA),1.603,1.679,0.486,0.341
Grey Princess (IRE),1.937,1.448,0.55,0.422
Tenalist (IRE),0,0,0.546,0.39
Paleria (USA),1.453,1.019,0.558,0.409
Eastern Gem (USA),2.641,2.05,0.638,0.509
Bellair GB,0,0,0.577,0.38
Sunshine CoastI GB,0.553,0.777,0.423,0.263
PrejudiceI GB,1.162,0.929,0.462,0.324
The Jotter GB,2.734,1.284,0.597,0.449
Kinkajoo GB,0,0,0.296,0.161
Lady At War GB,0.401,0.493,0.476,0.326
Fiddling GB,0,0,0.348,0.188
Cultured Pearl (IRE),2.324,1.089,0.645,0.502
Woodbeck GB,1.291,0.824,0.52,0.375
Sylvatica GB,0,0,0.471,0.265
Golden Charm (IRE),0.484,0.454,0.517,0.36
Arian Da GB,0,0,0.436,0.267
Floating Agenda (USA),0,0,0.125,0.016
Kinraddie GB,0,0,0.115,0.023
Inventive GB,2.905,1.08,0.915,0.84
Miss Meltemi (IRE),2.324,0.927,0.806,0.698
Rain And Shine (FR),0,0,0.516,0.332
Decatur GB,0.968,1.921,0.457,0.295
Shifty Mouse GB,0.684,1.444,0.337,0.193
Castelfranca (IRE),0,0,0.169,0.044
African Dance (USA),2.113,1.18,0.68,0.564
Future Romance GB,1.66,0.928,0.698,0.549
Sept Roses (USA),0,0,0.365,0.17
Ermione GB,1.056,0.889,0.449,0.299
Ballycurrane (IRE),1.291,1.267,0.566,0.403
Red Cascade (IRE),0,0,0.346,0.185
Sky Music GB,0,0,0.566,0.369
Bilad (USA),0,0,0.627,0.413
Express Girl GB,1.453,1.237,0.572,0.4
Fey Lady (IRE),0,0,0.423,0.253
Breakfast Creek GB,0,0,0.308,0.149
Ghost Tree (IRE),1.291,2.029,0.408,0.287
Miss Valediction (IRE),2.905,3.721,0.448,0.316
Londubh GB,0.968,0.592,0.558,0.404
Loch Fyne GB,0,0,0.221,0.111
Miss Bagatelle GB,0,0,0.356,0.211
Jacobina GB,0.83,0.429,0.619,0.423
Signs And Wonders GB,0,0,0.409,0.221
Simacota (GER),2.905,1.069,0.777,0.643
Kindle GB,2.905,1.724,0.728,0.632
Fanellan GB,2.583,1.74,0.729,0.575
Najm Al Bahar (FR),0.968,0.686,0.64,0.473
Dundel (IRE),0.415,0.486,0.544,0.373
Sheba Dancer (FR),0,0,0.537,0.376
Cochiti GB,0.83,0.695,0.61,0.453
Shamwari (USA),0.968,0.912,0.474,0.321
Arminda GB,1.453,1.734,0.355,0.242
Flower From Heaven GB,0,0,0.415,0.255
Glowlamp (IRE),1.66,1.721,0.461,0.324
Tamara GB,0,0,0.481,0.303
Alca Egeria (ITY),0,0,0.14,0.03
Palace Weekend (USA),6.973,6.151,0.829,0.739
Blue Sirocco GB,2.113,1.076,0.611,0.49
Quelle Celtique (FR),0,0,0.41,0.284
Grey Again GB,0,0,0.283,0.127
Adora (GER),0,0,0.351,0.175
Felona GB,0,0,0.437,0.226
Casaque Rose (USA),0,0,0.315,0.124
Royal Musical GB,0,0,0.307,0.163
Ill Flutter By (USA),0,0,0.383,0.208
Wedding Gift (FR),0,0,0.306,0.15
Bogus Mix (IRE),1.453,2.17,0.387,0.251
Silken Dalliance GB,0.726,0.417,0.548,0.416
Ishaam GB,0,0,0.329,0.169
Why Worry Now (IRE),1.291,1.422,0.606,0.422
Mayfair Ballerina GB,0,0,0.278,0.16
Sandpiper GB,0,0,0.247,0.093
Naval Dispatch GB,0,0,0.291,0.141
Lea Valley Dancer GB,0,0,0.151,0.045
Prima Cominna GB,2.051,1.267,0.548,0.465
Sabonis (UAE),0.684,0.59,0.541,0.383
Fizzy Fiona GB,0,0,0.638,0.455
Sovereign Grace (IRE),0.775,0.515,0.623,0.451
The Kings Daughter GB,0.664,0.455,0.533,0.383
Holy Smoke GB,1.453,0.974,0.502,0.392
Pink Fondant GB,2.324,1.499,0.627,0.513
Green Supreme GB,2.905,1.701,0.569,0.457
March Star (IRE),1.516,1.168,0.598,0.462
Dancing Willma (IRE),1.011,0.892,0.551,0.385
Bollin Sophie GB,0.775,0.915,0.507,0.337
Meadow Grass (IRE),0,0,0.343,0.171
Artic Strech (USA),0,0,0.178,0.034
Excavator Lady GB,0.726,0.901,0.479,0.328
Saaryeh GB,0,0,0.586,0.389
Asterita GB,0.528,0.936,0.427,0.251
Seasonal Blossom (IRE),0,0,0.485,0.357
Zooming (IRE),1.291,0.887,0.542,0.422
Day Is Dawning (IRE),3.874,3.423,0.764,0.673
Plum Bold GB,0,0,0.342,0.172
Brandywine Belle (USA),1.453,1.293,0.486,0.36
Annona (USA),0,0,0.211,0.069
Filey Brigg GB,0,0,0.481,0.287
Coney Hills GB,0,0,0.364,0.184
Ladys Vision (IRE),0,0,0.437,0.264
Green Seed (IRE),1.937,1.464,0.623,0.462
Sampower Lady GB,0.646,0.48,0.666,0.491
Shamaka GB,2.905,2.295,0.475,0.375
Surmise (USA),0,0,0.309,0.141
Pas De Chat GB,0,0,0.404,0.199
Suppression GB,0,0,0.232,0.081
Our Aisling GB,0,0,0.503,0.335
Fishki GB,1.66,1.277,0.519,0.388
Sandra Mac GB,0.968,0.536,0.577,0.391
Mudflap GB,0,0,0.409,0.193
So Bold GB,0,0,0.089,0.024
Final ShotI GB,1.367,1.037,0.429,0.311
Lady Affirmed (USA),1.162,0.651,0.605,0.477
Enjoy (IRE),0,0,0.464,0.263
Gayes Express (USA),0,0,0.362,0.193
Sunrise (IRE),1.162,1.128,0.577,0.413
Chichen Itza I GB,0,0,0.464,0.294
Miss Tress (IRE),0,0,0.221,0.104
Pidgeon Bay (IRE),0,0,0.558,0.383
Auspicious GB,0,0,0.253,0.066
Lady Bodmin (IRE),0,0,0.104,0.018
Stolen Melody GB,0.684,0.541,0.631,0.482
Into The Box GB,0,0,0,0
Bustinetta GB,2.49,0.926,0.772,0.639
Shadha GB,0.612,0.513,0.704,0.555
Reine Wells (IRE),0,0,0.553,0.385
Giffoine GB,0,0,0.438,0.264
Morale GB,2.051,2.146,0.558,0.424
Western Reel (USA),0,0,0.125,0.031
Christophs Girl GB,1.516,1.161,0.577,0.407
Precious Girl GB,0.968,1.067,0.511,0.355
Gold Script (USA),2.324,1.69,0.646,0.513
Final Verdict (IRE),0,0,0.53,0.327
Rose Tint (IRE),0,0,0.426,0.248
Bazaar Promise GB,0,0,0.423,0.257
Lady Ounavarra (IRE),1.367,0.912,0.5,0.363
Baino Charm (USA),0.646,0.68,0.423,0.268
Sophisticated Baby GB,0,0,0.191,0.084
Always On A Sunday GB,1.162,1.751,0.437,0.275
Persian Blue GB,1.056,0.913,0.507,0.357
Gryada GB,1.162,0.884,0.599,0.447
Schonbein (IRE),0.581,0.521,0.52,0.347
Prime Site (IRE),1.162,0.717,0.572,0.414
Zazu GB,0,0,0.613,0.451
Primum Tempus GB,0,0,0.431,0.259
Carabine (USA),0,0,0.375,0.19
Pendona GB,1.788,1.057,0.496,0.376
Qualitair Dream GB,0,0,0.337,0.185
Merrily GB,0,0,0.3,0.161
Cabcharge Princess (IRE),0.83,0.634,0.523,0.367
True Precision GB,0,0,0.388,0.246
Valldemosa GB,1.453,1.833,0.727,0.567
Bellissi (IRE),0.291,0.219,0.559,0.398
Quick Profit GB,2.324,1.952,0.6,0.491
Scoffera GB,0.646,0.796,0.535,0.363
Grecian Belle GB,2.051,1.561,0.517,0.417
Avies Jill (USA),0.83,0.97,0.372,0.248
Mary Hinge GB,0,0,0.352,0.189
Pink Cashmere (IRE),0.505,0.264,0.597,0.422
Stately Princess GB,0,0,0.599,0.412
Gracious Gift GB,0,0,0.147,0.042
PresentlyI GB,0.465,0.737,0.372,0.215
Weet Ees Girl (IRE),0,0,0.219,0.117
Golden Digger (USA),1.162,0.551,0.561,0.39
Hint-Of-Romance (IRE),0,0,0.436,0.273
Kalamona (USA),0,0,0.262,0.096
Mistook (USA),0,0,0.397,0.278
Dominelle GB,1.453,1.379,0.546,0.412
Indian Lament GB,2.905,1.809,0.509,0.342
Last Rolo GB,0,0,0.182,0.035
Welsh Dawn GB,0,0,0.132,0.055
Calcavella GB,3.169,2.005,0.72,0.567
Waqood (USA),2.767,0.97,0.651,0.534
Antonias Folly GB,0.894,0.908,0.543,0.375
Le Shuttle GB,1.788,1.259,0.665,0.556
Miss Siham (IRE),0,0,0.376,0.202
Frisson GB,0.505,0.51,0.457,0.276
Banningham Blade GB,1.367,0.893,0.501,0.375
Madam Zando GB,2.113,1.706,0.568,0.424
Polar Peak GB,0,0,0.434,0.363
Minnehaha GB,1.107,1.418,0.536,0.369
Rekindled Flame (IRE),1.788,1.617,0.556,0.407
Eucharis GB,0,0,0.589,0.382
Sugar GB,0,0,0.414,0.235
Kyra Crown (IRE),0.704,0.927,0.31,0.17
Stormswept I (USA),2.021,1.955,0.535,0.386
Branston Dancer GB,1.162,0.899,0.575,0.426
Janes Affair GB,0.83,1.109,0.559,0.398
Maxime (IRE),0,0,0.301,0.141
Tsars Pride GB,2.905,0.757,0.839,0.715
For Example (USA),1.453,0.747,0.584,0.422
Emma Peel GB,0,0,0.35,0.145
Daisy May GB,0,0,0.484,0.306
Snow Bride (USA),0,0,0.405,0.271
Dutosky GB,1.937,1.755,0.597,0.421
Bodfari Times GB,0,0,0.456,0.272
Branston Gem GB,4.649,1.907,0.817,0.695
Bollin Victoria GB,0,0,0.729,0.556
Golden Panda GB,1.66,1.267,0.666,0.528
Day Star GB,0,0,0.329,0.145
River Of Fortune (IRE),0,0,0.205,0.071
Tayovullin (IRE),1.162,1.269,0.455,0.309
Runs In The Family GB,1.66,2.126,0.466,0.333
Bint Alreeys GB,0,0,0.359,0.211
Krisia GB,1.162,1.031,0.299,0.207
Christmas Kiss GB,0,0,0.488,0.293
Aunt Pearl I (USA),0,0,0.311,0.178
Carolside GB,1.056,0.743,0.577,0.408
Jemima Yorke GB,0,0,0.333,0.177
Princess Of Spain GB,0,0,0.361,0.199
White Jasmin GB,0,0,0.445,0.257
Nightmare Lady GB,0.968,0.833,0.665,0.5
No Comebacks GB,0.726,0.786,0.471,0.297
Star Dancer GB,0.894,1.852,0.264,0.146
Prosaic Star (IRE),0,0,0.329,0.167
Avondale Girl (IRE),0,0,0.255,0.116
Vijaya (USA),1.55,1.936,0.451,0.31
Luanshya GB,1.937,1.336,0.632,0.47
Russland (GER),2.905,1.398,0.598,0.438
Calando (USA),1.056,0.443,0.618,0.479
Selkirk Rose (IRE),0,0,0.288,0.124
Overcome GB,2.051,1.253,0.543,0.436
Eliza Orzeszkowa (IRE),1.162,1.552,0.581,0.405
Mia Duchessa (USA),0,0,0.491,0.345
Polynesian Goddess (IRE),2.905,5.466,0.652,0.482
DAzy GB,1.788,1.363,0.474,0.328
Nuit DEte (USA),0,0,0.473,0.325
Pontoon GB,0,0,0.372,0.237
Tyrian Belle GB,1.162,1.449,0.349,0.231
Fern GB,0.968,0.811,0.471,0.323
Cup Of Kindness (USA),2.905,2.275,0.663,0.517
White Hare GB,0,0,0.586,0.37
Precious Poppy GB,1.291,0.857,0.59,0.409
Spring Wedding (USA),0,0,0.166,0.055
Little Redwing GB,0,0,0.435,0.247
Eversince (USA),0,0,0.491,0.333
Green Belt (FR),0,0,0.2,0.094
Nawara GB,1.291,1.23,0.575,0.443
Gaelic Air GB,2.49,2.67,0.423,0.337
Statua (IRE),1.937,1.078,0.622,0.481
Coffee Cream GB,0,0,0.499,0.318
Dark Albatross (USA),0,0,0.394,0.196
Queen Shirley (IRE),0,0,0.439,0.238
Tir-An-Oir (IRE),0.415,0.595,0.339,0.232
Tifosi (IRE),0,0,0.169,0.047
Umlaut GB,0,0,0.315,0.124
ThirlmereI GB,1.291,0.754,0.662,0.511
Nightingale Song GB,3.32,1.541,0.686,0.579
Come To The Point GB,0.894,0.844,0.557,0.399
Fading GB,1.291,0.699,0.692,0.524
Fair Test GB,1.835,1.459,0.512,0.375
Mulling It Over (IRE),1.453,1.195,0.417,0.274
Koukla Mou GB,1.056,0.62,0.5,0.325
Itsibitsi (IRE),1.453,0.928,0.525,0.386
Showering GB,0,0,0.349,0.158
Zadracarta (CAN),0,0,0.356,0.153
Cantina GB,0.775,0.569,0.359,0.257
Golightly (USA),0,0,0.393,0.241
Fairy Free GB,3.67,2.095,0.733,0.614
Regal Baby (USA),0,0,0.552,0.36
Fame At Last (USA),1.162,0.543,0.753,0.614
Phlirty GB,2.004,1.478,0.562,0.416
Spring Daffodil GB,2.113,1.107,0.787,0.667
Deyaajeer (USA),1.453,0.845,0.579,0.414
Mockery GB,0,0,0.36,0.184
Wave Dancer GB,0,0,0.443,0.205
Exact Replica GB,1.66,1.1,0.591,0.43
Trig Point GB,1.056,1.323,0.503,0.363
Mynador (USA),0,0,0.769,0.61
Nordic Flavour (IRE),0,0,0.327,0.137
Castlelue (IRE),0,0,0.192,0.081
Sweet Whisper GB,0.704,0.611,0.517,0.377
La Papagena GB,3.169,0.964,0.712,0.58
Love Of Silver (USA),0.968,0.709,0.666,0.504
Belamcanda GB,1.453,2.021,0.401,0.263
Fairy Story (IRE),0,0,0.514,0.329
Petite-D-Argent GB,1.585,1.047,0.465,0.328
Lipica (IRE),1.937,1.707,0.666,0.566
Gracious Imp (USA),0,0,0.607,0.38
Theda GB,0,0,0.309,0.137
Shimla (IRE),0,0,0.401,0.182
Triple Transe (USA),0,0,0.317,0.188
Nijinskys Beauty (USA),0,0,0.276,0.085
Persian Danser (IRE),1.453,0.929,0.434,0.303
Nordic Way (IRE),1.056,0.952,0.536,0.404
Agwaas (IRE),1.056,1.368,0.546,0.371
Devils Crown (USA),0,0,0.382,0.179
Clear Procedure (USA),0,0,0.354,0.18
Top Shop GB,0,0,0.081,0.01
Lears Crown (USA),0,0,0.334,0.224
Wheres Charlotte GB,1.874,1.88,0.48,0.325
Moss (USA),1.056,1.075,0.535,0.398
Catfoot Lane GB,0.684,0.351,0.7,0.523
Bron Hilda (IRE),0,0,0.392,0.215
Cartesian GB,1.453,1.263,0.615,0.444
Croeso Cynnes I GB,1.66,1.892,0.569,0.385
Belle Bijou GB,2.113,1.854,0.512,0.364
Celtic Link (IRE),2.324,2.083,0.592,0.425
Skimra GB,0,0,0.43,0.306
Mimining GB,0,0,0.448,0.271
Wild Pavane GB,0.726,0.574,0.554,0.385
Zanella (IRE),1.162,0.583,0.67,0.517
Drying Grass Moon GB,2.324,1.889,0.714,0.57
Scrimshaw GB,0,0,0.422,0.272
Equity Princess GB,1.937,1.724,0.407,0.299
Awayil (USA),1.107,1.216,0.452,0.308
Alabaq (USA),0.894,0.433,0.582,0.45
Arianna Aldini GB,0,0,0.478,0.288
Plentitude I (FR),1.162,1.459,0.414,0.287
Jamaican Punch (IRE),1.056,1.306,0.443,0.298
Fast Love (IRE),0,0,0.204,0.105
Dancing Sea (USA),1.937,1.751,0.549,0.399
Scannos Choice (IRE),3.32,2.477,0.728,0.609
Jade Pet GB,0.93,0.827,0.496,0.335
Forest Storm (USA),1.291,1.092,0.628,0.472
Dance Of The Swans (IRE),0,0,0.399,0.279
Choralli GB,0,0,0.153,0.036
June Brilly (IRE),0,0,0.276,0.098
Shuruk GB,0,0,0.451,0.25
Chalice GB,0,0,0.056,0.015
Mary Cornwallis GB,0,0,0.267,0.213
Shibui GB,2.905,1.865,0.763,0.648
Oops Pettie GB,3.32,1.884,0.622,0.502
Village (GER),1.367,1.184,0.661,0.484
Auenlust (GER),1.937,1.508,0.486,0.346
The Lady Captain GB,0,0,0.38,0.188
First Sapphire GB,0.83,0.588,0.554,0.4
Free Thinker I (USA),2.324,2.651,0.564,0.401
Greek Night Out (IRE),1.55,1.589,0.493,0.343
Vanya GB,0,0,0.443,0.377
Atlantic Air GB,1.291,1.994,0.305,0.173
Pomorie (IRE),0.775,0.491,0.626,0.466
Solar Attraction (IRE),0,0,0.395,0.223
Florissa (FR),0,0,0.257,0.13
Arrastra GB,0,0,0.127,0.081
Mount Park (IRE),1.367,1.439,0.477,0.357
Nordico Princess GB,0.581,0.525,0.589,0.456
Centre Travel GB,3.874,2.764,0.752,0.638
Efipetite GB,0.553,0.776,0.483,0.296
Cutting Ground (IRE),1.056,0.795,0.566,0.394
Fawley Mist GB,1.291,2.898,0.381,0.221
Petite Elite GB,0.528,0.898,0.456,0.314
Funny Cut (IRE),0.968,1.658,0.367,0.25
Kilshanny GB,0,0,0.437,0.226
Roxy Music (IRE),0,0,0.13,0.038
Fiorenz (USA),0.968,0.951,0.552,0.394
Erbaya (IRE),0,0,0.494,0.291
Najmat Alshemaal (IRE),2.113,2.206,0.569,0.421
High Atlas GB,0.596,0.55,0.452,0.286
Polly Golightly GB,0,0,0.327,0.182
Rhinefield Beauty (IRE),0.465,0.368,0.551,0.387
Salacious GB,0,0,0.333,0.213
Merlannah (IRE),0,0,0.439,0.261
Nationalartgallery (IRE),0,0,0.535,0.33
Be Thankfull (IRE),0,0,0.636,0.422
Noor El Houdah (IRE),1.937,1.009,0.657,0.495
Final Rush GB,2.324,1.9,0.674,0.509
Phantom Ring GB,0,0,0.61,0.465
