trainer,IV,A/E,PRB,PRB2
Ian Williams,1.031,0.707,0.5,0.357
Ben Case,0.646,0.662,0.413,0.272
Alan King,1.792,0.956,0.594,0.466
M C Pipe,1.578,0.832,0.534,0.404
Liam Grassick,0,0,0.404,0.254
Giuseppe Fierro,0,0,0.587,0.403
Richard Lee,0.758,0.571,0.539,0.394
Ms Georgina Nicholls,0.258,0.326,0.379,0.251
Sarah Humphrey,0,0,0.442,0.286
Matt Sheppard,0.775,0.768,0.409,0.282
Miss I E Craig,0,0,0.282,0.148
Richard Rowe,0.65,0.664,0.381,0.256
E A Elliott,1.453,1.142,0.365,0.273
Laura Mongan,0.164,0.19,0.483,0.337
Victor Dartnall,2.07,1.14,0.576,0.467
Chris Down,0.747,0.98,0.487,0.352
Raymond York,1.056,1.366,0.601,0.46
Richard Mitchell,0.534,0.661,0.383,0.262
Clive Drew,0.968,2.747,0.378,0.239
Bill Moore,0.237,0.698,0.255,0.152
N M Babbage,0.375,0.578,0.433,0.273
Charlie Morlock,0.363,0.492,0.42,0.283
Alison Thorpe,0.758,0.655,0.48,0.347
R S Brookhouse,1.595,1.805,0.487,0.371
Robert Stronge,0.465,0.478,0.444,0.311
Bernard Llewellyn,0.906,0.78,0.469,0.334
Mandy Rowland,0.332,0.982,0.242,0.129
Oliver Sherwood,1.321,0.764,0.561,0.426
Paul Nicholls,2.528,0.949,0.626,0.51
D J Wintle,0.94,1.022,0.44,0.303
Debra Hamer,0.875,0.859,0.47,0.32
Sir John Barlow Bt,0.484,0.8,0.325,0.211
Richard Price,0.743,0.763,0.479,0.33
Simon Sherwood,2.199,2.113,0.481,0.374
Tom George,1.641,0.951,0.528,0.416
Mrs L C Taylor,1.367,0.989,0.561,0.434
Lucy Wadham,1.496,0.967,0.596,0.463
James Eustace,0.981,1.198,0.434,0.279
Philip Hobbs,2.037,0.935,0.588,0.46
Emma Lavelle,1.359,0.908,0.506,0.382
Ben De Haan,0.562,0.493,0.543,0.397
Mrs J M Mann,0,0,0.314,0.103
D B Feek,0.904,0.818,0.467,0.321
Graham Smith,0.917,2.243,0.302,0.208
Nicky Henderson,1.967,0.944,0.587,0.466
Ken Wingrove,0,0,0.25,0.11
Jim Old,1.007,0.836,0.458,0.328
Nick Ayliffe,0.447,0.742,0.418,0.268
P Wegmann,0,0,0.29,0.157
