horse,IV,A/E,PRB,PRB2
Desert Express (IRE),0,0,0.275,0.088
Raven (IRE),0,0,0.141,0.04
New England (GB),1.291,2.469,0.474,0.285
Molem (GB),0,0,0.667,0.515
Marians Gift (GB),0,0,0,0
Molotov (GB),0,0,0.375,0.239
Best Lead (GB),2.324,2.373,0.688,0.541
Fox Covert (IRE),0.83,0.835,0.45,0.316
Malahide Express (IRE),0,0,0.433,0.287
Queen Of Night (GB),0,0,0.448,0.283
Monte Major (IRE),0,0,0.232,0.109
Torrent (GB),0.93,1.007,0.61,0.427
Fishlake Flyer (IRE),0,0,0.32,0.104
Sir Sandrovitch (IRE),1.453,0.919,0.678,0.53
Golden Bounty (GB),0,0,0.208,0.059
Short Chorus (GB),0,0,0.282,0.111
Blue Power I (IRE),0,0,0.468,0.303
One Last Time (GB),0,0,0.469,0.294
Grenane (IRE),1.788,1.161,0.647,0.5
Oblo (IRE),0,0,0.372,0.236
Mint (GB),1.937,1.256,0.45,0.332
First Byte (GB),0.894,0.619,0.504,0.328
Mytass (GB),0,0,0.327,0.17
Fitasabuckstoat (IRE),0,0,0.201,0.071
Stoneacre Girl (IRE),0,0,0.086,0.019
Fizzlephut (IRE),2.324,1.823,0.586,0.427
Cayman King (GB),0,0,0.385,0.265
Ne Oublie (GB),0,0,0.349,0.187
Inagh (GB),0,0,0.152,0.052
One Of Each (IRE),0,0,0.083,0.014
Chilali (IRE),0,0,0.137,0.034
Stoic Leader (IRE),1.291,1.155,0.537,0.359
Tough Love (GB),0,0,0.552,0.394
Sea Storm (IRE),0.775,0.865,0.461,0.309
Tony The Tap (GB),0,0,0.772,0.613
Selective (GB),0,0,0.463,0.305
Royal Dignitary (USA),1.162,1.747,0.466,0.325
Flying Bantam (IRE),0.894,0.836,0.611,0.43
Kirkbys Treasure (GB),0.726,0.582,0.611,0.432
H Harrison (IRE),1.367,1.378,0.581,0.431
Master Robbie (GB),1.223,1.257,0.39,0.227
Dr Thong (GB),1.291,0.902,0.507,0.324
Maguire (GER),0,0,0.14,0.031
Redwood Rocks (IRE),3.32,2.756,0.515,0.378
King Harson (GB),1.056,1.367,0.409,0.248
Wistman (UAE),0,0,0.1,0.03
Prairie Sun (GER),4.842,2.133,0.762,0.649
Golden Measure (GB),0,0,0.552,0.356
Hernandos Boy (GB),3.486,1.581,0.829,0.714
Considine (USA),1.107,0.624,0.526,0.338
General Flumpa (GB),1.937,1.755,0.545,0.34
Gravardlax (GB),0,0,0.378,0.2
Rosapenna (IRE),2.583,1.131,0.787,0.663
Colonial Girl (IRE),0,0,0.489,0.303
Bahara (GB),0,0,0.597,0.391
Muara (GB),2.324,2.442,0.527,0.372
Marlenes Girl (IRE),0,0,0.15,0.04
Boschette (GB),0,0,0.087,0.015
Blazing View (USA),0,0,0.244,0.093
Sarraaf (IRE),1.937,1.211,0.748,0.599
Joshuas Gold (IRE),0.894,0.58,0.722,0.587
Kaymich Perfecto (GB),1.291,0.936,0.681,0.522
Cyfrwys (IRE),0.968,0.781,0.655,0.497
Lindens Lady (GB),1.66,1.202,0.664,0.511
Frimleys Matterry (GB),0,0,0.519,0.325
Quincannon (USA),0.553,0.389,0.66,0.483
Ronnie From Donny (IRE),0,0,0.311,0.137
Mount Royale (IRE),0,0,0.577,0.379
Mickledor (FR),0,0,0.522,0.316
Time To Remember I (IRE),0,0,0.208,0.068
Zariano (GB),1.162,0.608,0.555,0.402
Sion Hill (IRE),0,0,0.506,0.329
City For Conquest (IRE),2.324,1.492,0.632,0.458
Smart Pick (GB),0,0,0.496,0.344
Wig Wam Bam (IRE),0,0,0.461,0.283
Floral Bazaar (GB),0,0,0.452,0.279
First Among Equals (GB),1.162,1.141,0.509,0.355
Cape Latina (GB),0,0,0.318,0.117
Dangermouse (GB),0,0,0.469,0.246
Goodtime Girl (IRE),0,0,0.265,0.125
Late Arrival (GB),2.583,2.387,0.462,0.344
Free Style (GER),1.453,0.904,0.566,0.408
Cantemerle (IRE),0,0,0.333,0.158
Righty Ho (GB),0,0,0.218,0.048
The Leather Wedge (IRE),1.835,1.415,0.605,0.463
Shrink (GB),5.811,1.794,0.731,0.713
Kangarilla Road (GB),1.162,0.62,0.608,0.47
Pulse I (GB),1.743,1.253,0.645,0.491
ZuhairI (GB),0,0,0.692,0.479
Never Without Me (GB),0.775,1.012,0.501,0.339
Blue Maeve (GB),0,0,0.481,0.328
Parkside Pursuit (GB),0.646,0.461,0.582,0.429
Compton Plume (GB),1.162,0.968,0.639,0.47
Rectangle (IRE),0,0,0.538,0.34
Sir Loin (GB),1.162,1.445,0.352,0.264
Mr Wolf (GB),2.734,1.833,0.569,0.443
Maromito (IRE),0,0,0.276,0.189
Trojan Flight (GB),1.291,0.694,0.747,0.59
Wyatt Earp (IRE),1.66,1.126,0.648,0.5
Mr Malarkey (IRE),0.83,0.656,0.637,0.449
Blackheath (IRE),0.894,0.838,0.474,0.315
Undeterred (GB),2.905,1.422,0.703,0.55
Currency (GB),1.743,2.242,0.51,0.364
Bond Becks (IRE),0,0,0.133,0.039
Artie (GB),0.775,0.697,0.537,0.364
Pax (GB),0,0,0.465,0.338
Norcroft (GB),1.453,1.211,0.554,0.436
Harry Up (GB),1.453,1.66,0.484,0.366
Sir Don (IRE),0,0,0.118,0.033
Stancomb Wills (IRE),1.66,0.925,0.385,0.234
Mind How You Go (FR),0,0,0.708,0.522
Kinfayre Boy (GB),0,0,0.304,0.153
Sadlers Senor (IRE),0,0,0.13,0.036
Woodland Lodge (IRE),0,0,0.273,0.149
Dematraf (IRE),1.66,2.629,0.406,0.303
Miss Malone (IRE),0,0,0.429,0.277
Zimbali (GB),0,0,0.416,0.273
Canary Dancer (GB),0,0,0.489,0.291
Dishdasha (IRE),1.367,1.204,0.492,0.337
Lady Vee (IRE),1.66,2.944,0.461,0.296
Born For Diamonds (IRE),0,0,0.359,0.15
Bond Puccini (GB),0,0,0.326,0.141
River Card (GB),0,0,0.389,0.281
Town End Tom (GB),1.162,0.77,0.364,0.25
Dispol Katie (GB),1.66,1.259,0.584,0.416
Witchelle (GB),1.937,1.145,0.723,0.548
Summer Shades (GB),0,0,0.57,0.384
Obe Bold (IRE),0,0,0.44,0.245
Elrafa Mujahid (GB),2.583,2.578,0.42,0.307
Rainbow Iris (GB),0,0,0.418,0.234
Millfield I (IRE),3.874,1.526,0.68,0.538
Conciliate (GB),0.968,1.142,0.433,0.276
Highland Song (IRE),1.162,1.045,0.616,0.45
Flaming Cat (IRE),0,0,0.221,0.065
Coquet Island (GB),0,0,0.462,0.364
Queens Hand (IRE),2.905,1.376,0.72,0.551
Entertain (GB),0.612,0.771,0.419,0.264
Noorain (GB),0.775,0.587,0.513,0.359
Danaatt (USA),0,0,0.486,0.278
Kristikhab (IRE),0,0,0.251,0.118
Keyalzao (IRE),0,0,0.283,0.114
Suncliff (GB),0,0,0.305,0.095
Twice Nightly (GB),0,0,0.285,0.107
Fragile Witness (GB),0,0,0,0
Inter Vision (USA),2.682,1.869,0.666,0.518
Pomfret Lad (GB),0,0,0.541,0.441
Hamaasy (GB),0.968,1.394,0.339,0.234
Vindication (GB),0,0,0.494,0.342
Dark Champion (GB),0,0,0.605,0.475
Wizardmicktee (IRE),0,0,0.124,0.027
Rock Lobster I (GB),0,0,0.582,0.428
Bartra Rock (IRE),1.056,0.501,0.575,0.414
Field Spark (GB),0,0,0.616,0.412
Garrigon (GB),0,0,0.419,0.27
Robinzal (GB),2.905,2.191,0.691,0.535
Zendaro (GB),1.66,2.188,0.472,0.385
Rice Mother (IRE),1.66,0.836,0.61,0.419
Novelina (IRE),0,0,0.589,0.424
Sealily (IRE),0,0,0.555,0.339
Cemgraft (GB),0,0,0.204,0.098
Haroldini (IRE),0,0,0.478,0.299
Indian Gem (GB),0,0,0.447,0.218
Geordie Dancer (IRE),1.056,1.282,0.486,0.34
Northern Ruler (GB),0,0,0.18,0.037
Juniper Banks (GB),0.968,1.982,0.329,0.186
Best Port (IRE),2.324,1.464,0.585,0.414
Lady Karr (GB),0,0,0.598,0.443
Rouge Blanc (USA),0,0,0,0
Phantom Song (IRE),1.291,1.108,0.579,0.415
Beverley Beau (GB),0,0,0.589,0.387
The Keep (GB),0,0,0.357,0.194
Stans Girl (GB),1.453,2.075,0.326,0.204
Misty Princess (GB),0,0,0.42,0.267
Bollin Billy I (GB),0.968,0.87,0.694,0.51
Stanley Arthur (GB),0,0,0.273,0.074
Mickledo (GB),0,0,0.286,0.162
Diktatit (GB),0,0,0.273,0.171
Confidential Lady (GB),6.973,1.764,0.921,0.859
Under My Thumb (IRE),5.811,2.705,0.71,0.649
Daedal (GB),0,0,0.441,0.232
Mambo Sun (GB),1.291,1.183,0.616,0.446
Little Eyecatcher (IRE),0,0,0.464,0.217
Fenners (USA),3.874,1.641,0.688,0.562
Georges Flyer (IRE),2.324,1.871,0.601,0.423
Mister Becks (IRE),0,0,0.088,0.028
Law Maker (GB),4.358,2.582,0.774,0.662
Amandas Lad (IRE),1.516,1.45,0.675,0.511
Melandre (GB),0,0,0.589,0.413
Strensall (GB),0.726,0.771,0.532,0.353
Cayman Mischief (GB),0,0,0.387,0.183
Hello Roberto (GB),0.775,0.766,0.437,0.269
Dollivius (IRE),0,0,0.312,0.14
Tommy Smith (GB),1.056,1.438,0.42,0.294
Hiccups (GB),1.291,1.028,0.466,0.334
Alchemist Master (GB),1.788,1.528,0.496,0.376
Titinius (IRE),0,0,0.284,0.154
Serieux (GB),1.162,1.328,0.366,0.194
Johnstons Diamond (IRE),0.726,0.739,0.526,0.372
Wolf Hammer (USA),0,0,0.125,0.035
Smart Cassie (GB),1.937,1.923,0.641,0.475
Quote Unquote (GB),0,0,0.721,0.547
Ellcon (IRE),0,0,0.396,0.209
Fair Rosamond (IRE),0,0,0.647,0.475
Zafarilla (IRE),0,0,0.274,0.099
Smart Ass (IRE),0,0,0.479,0.268
Midnight Pearl (USA),0,0,0.388,0.231
Mykeyta (GB),0,0,0.176,0.093
Alabama Twist (GB),1.291,0.597,0.682,0.494
White Bear (FR),0,0,0.699,0.543
Navigation (IRE),1.291,0.898,0.672,0.488
Pennautier (IRE),0,0,0.386,0.223
Missin Margot (GB),0,0,0.136,0.074
Maynooth Prince (IRE),0,0,0.475,0.279
Madame Guillotine (GB),0,0,0.365,0.147
Sea Fern I (GB),0,0,0.202,0.065
Graceful Flight (GB),0,0,0.245,0.092
Tee El Cee (GB),0,0,0.286,0.11
Menna (GB),0,0,0,0
Hilltime (IRE),3.874,1.92,0.919,0.849
Lennel (GB),0.726,0.62,0.516,0.358
Gala Sunday (USA),0,0,0.492,0.337
True (IRE),0,0,0.483,0.281
Phoenix Eye (GB),0.726,0.917,0.507,0.345
Fairy Monarch (IRE),0.968,0.94,0.7,0.541
Magic Verse (GB),0,0,0.359,0.189
Cotton Eyed Joe (IRE),0,0,0.391,0.242
Thwaab (GB),0,0,0.283,0.081
Zuleta (GB),0,0,0.238,0.11
Fusillade (IRE),0,0,0,0
One Trick Pony (GB),3.486,1.404,0.601,0.514
Imperial Lucky (IRE),2.324,1.362,0.683,0.583
Trans Vision (IRE),0,0,0.262,0.131
Martharum (GB),0,0,0.502,0.305
Horsefair Dancer (GB),0,0,0.411,0.277
Howards Call (GB),0,0,0.426,0.228
Dispol Valentine (GB),0,0,0.305,0.168
Jay Jay Rocket (USA),0,0,0.2,0.06
Baysgarth Park (GB),0,0,0.154,0.04
Stanley Wolfe (IRE),0,0,0.258,0.097
Saint Bernadette (GB),0,0,0,0
Tanforan (GB),2.324,1.873,0.567,0.438
Just Bond (IRE),0,0,0.567,0.416
Persian Carpet (GB),0,0,0.58,0.39
Queue Up (GB),0,0,0.527,0.347
Guadiaro (USA),0,0,0.543,0.37
Master Bear (IRE),0,0,0.28,0.098
Wayward Shot (IRE),2.324,2.78,0.479,0.357
Red Chairman (GB),0,0,0.537,0.445
Tiamo (GB),2.583,1.193,0.556,0.398
Master Wells (IRE),0,0,0.581,0.364
Kristensen (GB),0,0,0.519,0.345
Yankeedoodledandy (IRE),0,0,0.432,0.299
Worlaby Dale (GB),0,0,0.471,0.31
Victoria Peek (IRE),2.324,1.316,0.654,0.48
Crystal Mystic (IRE),1.937,1.505,0.736,0.621
Bold Pursuit (IRE),0,0,0.544,0.369
Bee Stinger (GB),0,0,0.534,0.317
Hillside Heather (IRE),0,0,0.176,0.052
Flaxby (GB),0,0,0.474,0.277
StraffanI (IRE),1.788,1.948,0.48,0.343
Howards Princess (GB),2.113,1.704,0.615,0.494
Listen To Reason (IRE),0,0,0.546,0.39
Blue Empire (IRE),1.516,1.036,0.558,0.413
Gem Bien (USA),2.641,2.05,0.638,0.509
Pop Up Again (GB),0,0,0.671,0.465
Vademecum (GB),1.66,1.592,0.439,0.286
Favour (GB),0,0,0.387,0.222
Out For A Stroll (GB),2.734,1.284,0.597,0.449
Sharoura (GB),0,0,0.296,0.161
Sir Northerndancer (IRE),0,0,0.456,0.28
Harrington Bates (GB),0,0,0.348,0.188
Pearls A Singer (IRE),2.113,0.947,0.641,0.5
Wood Sprite (GB),0,0,0.536,0.346
Lookouthereicome (GB),0,0,0.471,0.265
Verstone (IRE),0,0,0.554,0.379
Manhattan Jack (GB),0,0,0.483,0.25
Teutonic (IRE),0,0,0.261,0.106
Back To Reality (GB),0,0,0.245,0.072
Rocky Agenda (IRE),0,0,0.125,0.016
Silver Jade (GB),0,0,0.115,0.023
Creative Mind (IRE),2.905,1.08,0.915,0.84
Dont Dili Dali (GB),2.324,0.927,0.806,0.698
Crusaders Gold (FR),0,0,0.521,0.353
Tallyhobye (GB),0,0,0.452,0.273
Scuzme (IRE),0,0,0.354,0.127
Lantau Peak (GB),0,0,0.233,0.091
Arisea (IRE),0,0,0.169,0.044
Chaka Zulu (GB),2.583,1.25,0.763,0.662
Regency Red (IRE),1.66,0.928,0.698,0.549
Cezzaro (IRE),0,0,0.365,0.17
Eton (GER),1.056,0.889,0.449,0.299
Extra Cover (IRE),1.291,1.267,0.566,0.403
Red Mountain (GB),0,0,0.4,0.223
Southern Bazaar (USA),0,0,0.364,0.216
Polar Haze (GB),0,0,0.566,0.37
Jedeydd (GB),0,0,0.627,0.413
Almaty Express (GB),1.453,1.237,0.572,0.4
Loughlorien (IRE),0,0,0.56,0.351
Game Flora (GB),0,0,0.372,0.2
Drury LaneI (IRE),1.453,2.545,0.397,0.292
Ryedane (IRE),2.905,3.721,0.448,0.316
Wise Wager (IRE),0,0,0.514,0.348
Theatre Of Dreams (GB),0,0,0.221,0.111
Alpaga Le Jomage (IRE),0,0,0.356,0.211
Speed Dial Harry (IRE),0.968,0.499,0.588,0.385
Smiddy Hill (GB),0,0,0.21,0.072
Wonderful Mind (GB),0,0,0.398,0.224
Germanicus (GB),2.905,1.069,0.777,0.643
Numero Due (GB),2.905,1.724,0.728,0.632
Shankly Bond (IRE),2.583,1.74,0.729,0.575
Finland (UAE),0.968,0.686,0.64,0.473
Lodgician (IRE),0,0,0.554,0.398
Degree Of Honor (FR),0,0,0.537,0.376
Abstract Folly (IRE),0.83,0.695,0.61,0.453
Satin Rose (GB),0.968,0.912,0.474,0.321
Epicurean (GB),2.324,2.081,0.461,0.358
Dantes Diamond (IRE),0,0,0.484,0.32
Lightening Fire (IRE),0,0,0.381,0.234
Grandma Ryta (GB),0,0,0.481,0.303
Eidsfoss (IRE),0,0,0.14,0.03
Palace Episode (USA),6.973,6.151,0.829,0.739
Johannes (IRE),3.874,2.059,0.921,0.852
Naughty Nod (IRE),0,0,0.41,0.284
River Logic (IRE),0,0,0.283,0.127
Andorran (GER),0,0,0.419,0.227
Farasha (GB),0,0,0.474,0.242
Madam Moschata (GB),0,0,0.315,0.124
Musical City (GB),0,0,0.307,0.163
Toy Top (USA),0,0,0.383,0.208
Royal Moon (USA),0,0,0.306,0.15
Dispol Shabama (GB),1.453,2.17,0.387,0.251
Snake Skin (GB),1.056,0.765,0.585,0.458
Isharram (IRE),0,0,0.329,0.169
Aysgarth Flyer (IRE),1.291,1.422,0.606,0.422
Mayfair Tambourine (GB),0,0,0.278,0.16
Miracle Girl (IRE),0,0,0.143,0.038
Genoa Star (GB),0,0,0.349,0.192
Kooks (IRE),0,0,0.151,0.045
One Way Ticket (GB),2.051,1.267,0.548,0.465
Trick Cyclist (GB),0.894,0.652,0.575,0.432
Frascati (GB),0,0,0.62,0.432
Henry Hall (IRE),0,0,0.568,0.375
Wicked Uncle (GB),0.968,0.996,0.403,0.262
Stargem (GB),1.66,0.985,0.565,0.447
Rudis Pet (IRE),2.324,1.499,0.627,0.513
Absent Friends (GB),0.968,0.959,0.426,0.286
Seven No Trumps (GB),1.011,0.636,0.592,0.408
Kensington (IRE),2.682,1.844,0.619,0.516
Burkees Graw (IRE),0,0,0.363,0.162
Travelling Times (GB),0,0,0.56,0.397
Robwillcall (GB),0,0,0.613,0.466
Countrywide Dancer (IRE),0,0,0.401,0.2
Fiennes (USA),0,0,0.178,0.034
Tuscan Dream (GB),0,0,0.242,0.134
Jaassey (GB),0,0,0.586,0.389
Twilight Avenger (IRE),0,0,0.402,0.23
Wee Charlie Castle (IRE),0,0,0.55,0.404
Tribute (IRE),1.056,1.457,0.455,0.336
Flying Edge (IRE),3.874,3.423,0.764,0.673
Obe One (GB),0,0,0.341,0.188
Nistaki (USA),1.453,1.293,0.486,0.36
Albashoosh (GB),0,0,0.211,0.069
Westborough (IRE),0,0,0.481,0.287
Pay Time (GB),0,0,0.452,0.294
Fitzwarren (GB),0,0,0.385,0.18
Peruvian Style (IRE),0,0,0.402,0.232
Rare Coincidence (GB),1.937,1.464,0.623,0.462
Tojoneski (GB),0.646,0.48,0.666,0.491
Broke Road (IRE),2.905,2.295,0.475,0.375
Glenviews Surlami (IRE),0,0,0.41,0.225
Calfraz (GB),0,0,0.404,0.199
Cliffie (IRE),0,0,0.232,0.081
Esquillon (GB),0,0,0.46,0.267
Green N Gold (GB),1.056,0.732,0.427,0.277
Go Green (GB),0.968,0.536,0.577,0.391
Unperturbed (GB),0,0,0.222,0.049
So Independent (GB),0,0,0.089,0.024
High Command (GB),2.905,0.897,0.769,0.676
Lightning Affair (USA),3.874,0.897,0.906,0.827
Zahara Joy (GB),0,0,0.464,0.263
Macs Ransom (USA),0,0,0.362,0.193
Mystified (IRE),1.162,1.128,0.577,0.413
Daaweitza (GB),0,0,0.464,0.294
At The Bar (GB),0,0,0.221,0.104
Carr Hall (IRE),0,0,0.558,0.383
Prince Picasso (GB),0,0,0.253,0.066
Millbrook Star (IRE),0,0,0.104,0.018
Stolen Glance (GB),0,0,0.377,0.233
Invincible Desire (GB),0,0,0,0
Tomasino (GB),2.324,0.881,0.782,0.657
Donnas DoubleI (GB),0.612,0.513,0.704,0.555
Yawmi (GB),0,0,0.553,0.385
Pont Neuf (IRE),0.894,0.535,0.535,0.377
Aggi Mac (GB),0,0,0.438,0.264
Weet A Head (IRE),0.968,1.144,0.493,0.351
West Point (GB),0,0,0.125,0.031
Taboor (IRE),1.788,1.53,0.559,0.408
Rosies Result (GB),0,0,0.492,0.31
Count Cougar (USA),2.324,1.69,0.646,0.513
Bettys Pride (GB),0,0,0.53,0.327
Amelia (IRE),0,0,0.426,0.248
Indian Bazaar (IRE),0,0,0.567,0.378
Dellagio (IRE),1.788,0.951,0.522,0.388
Levelled (GB),0.646,0.68,0.423,0.268
Grasslandik (GB),0,0,0.243,0.112
Saintly Place (GB),1.162,1.751,0.437,0.275
Maluti (GB),0.968,0.774,0.45,0.329
Graham Island (GB),3.874,3.112,0.5,0.417
Football Crazy (IRE),0,0,0.683,0.503
Desert Stream (IRE),0,0,0.316,0.233
Winthorpe (IRE),0,0,0.613,0.451
Time N Time Again (GB),0,0,0.504,0.312
Fiore Di Bosco (IRE),0,0,0.375,0.19
Madrasee (GB),1.788,1.057,0.496,0.376
Percy Douglas (GB),0,0,0.356,0.196
Vigorous (IRE),0,0,0.316,0.135
Aahgowangowan (IRE),0.968,0.734,0.545,0.376
True Magic (GB),0,0,0.434,0.283
Borodinsky (GB),1.453,1.833,0.727,0.567
Kalani Star (IRE),0,0,0.677,0.509
Merlins Profit (GB),2.324,1.952,0.6,0.491
Time To Regret (GB),0.968,1.025,0.562,0.39
The Old Soldier (GB),2.905,1.423,0.759,0.63
Iced Diamond (IRE),1.453,0.917,0.636,0.459
Penwell Hill (USA),0.83,0.97,0.372,0.248
Compton Banker (IRE),0,0,0.452,0.261
Motu (IRE),0.684,0.392,0.602,0.445
Cottingham (IRE),0,0,0.524,0.307
Instinct (GB),0,0,0.147,0.042
Ace Club (GB),0.646,0.881,0.414,0.268
Weet Watchers (GB),0,0,0.254,0.141
Golden Chance I (IRE),0,0,0.511,0.272
Selika (IRE),0,0,0.449,0.27
Jamaican Flight (USA),0,0,0.262,0.096
Glendening (GB),0,0,0.516,0.361
Caloosa (GB),1.453,1.379,0.546,0.412
Bellalini (GB),0,0,0.222,0.099
Miss Gandy (GB),2.905,1.809,0.509,0.342
Red Iris (IRE),0,0,0.182,0.035
Luscinia (GB),0,0,0.132,0.055
Skhilling Spirit (GB),3.169,2.005,0.72,0.567
Mujood (GB),1.291,0.78,0.608,0.443
Bowland Boy (GB),0,0,0.331,0.151
Mystery Pips (GB),1.788,1.259,0.665,0.556
Tamarella (IRE),0,0,0.453,0.289
Belle Encore (GB),0,0,0.393,0.211
Blades Boy I (GB),0.894,0.559,0.456,0.312
Cark (GB),0.775,0.7,0.592,0.427
Largs (GB),2.447,1.914,0.624,0.472
Chantelles Dream (GB),0,0,0.434,0.363
Morag (GB),0,0,0.432,0.242
Prince Pyramus (GB),0,0,0.642,0.412
Larkys Lob (GB),0,0,0.589,0.382
Desert Buzz (IRE),0,0,0.414,0.235
Hamburg Springer (IRE),0.553,0.647,0.361,0.196
Pride Of Kinloch (GB),1.453,1.233,0.485,0.303
Dennick (GB),1.162,0.899,0.575,0.426
Lizzie Rocket (GB),0.83,1.109,0.559,0.398
Attacca (GB),1.056,1.584,0.476,0.323
Weet Yer Tern (IRE),0,0,0.301,0.141
Exhibit One (USA),2.905,0.757,0.839,0.715
Viz (IRE),2.905,0.968,0.844,0.723
Rockpiler (GB),0,0,0.35,0.145
Flower Haven (GB),0,0,0.528,0.342
Royal Lustre (GB),0,0,0.33,0.214
Fayr Sky (IRE),2.324,1.786,0.642,0.477
Sandwith (GB),0,0,0.456,0.272
The Terrier (GB),4.649,1.907,0.817,0.695
Rainbow Bay (GB),0,0,0.729,0.556
Phinerine (GB),0,0,0.588,0.425
Vicky Pollard (GB),0,0,0.329,0.145
Dispol Lady (GB),0,0,0.206,0.051
Coleorton Foxe (IRE),0,0,0.111,0.025
Mighty Duel (GB),0,0,0.133,0.032
Princess Charlmane (IRE),0,0,0,0
Keys Of Cyprus (GB),5.811,2.442,0.656,0.549
Underthemistletoe (IRE),0,0,0.508,0.305
Tanzani (USA),0,0,0.472,0.311
Monkstown Road (GB),1.056,0.743,0.577,0.408
Krullind (IRE),0,0,0.333,0.177
Self Belief (GB),0,0,0.384,0.22
Ellerslie Jack (IRE),0,0,0.248,0.07
Smirfys Night (GB),0.968,0.833,0.665,0.5
New Options (GB),0.894,1.046,0.623,0.457
Shatin Leader (GB),1.291,2.534,0.334,0.201
Starlight River (IRE),0,0,0.329,0.167
Town House (GB),0,0,0.255,0.116
Love Palace (IRE),2.324,1.935,0.495,0.328
African Breeze (GB),0.968,1.072,0.554,0.371
Malcheek (IRE),3.874,1.586,0.692,0.545
Sovereignty (JPN),1.056,0.443,0.618,0.479
Miss Meggy (GB),0,0,0.288,0.124
Brace Of Doves (GB),2.682,1.449,0.542,0.448
Reminiscent I (IRE),1.162,1.552,0.581,0.405
George Stubbs (USA),0,0,0.716,0.523
Anniversary Guest (IRE),2.905,5.466,0.652,0.482
Accepting (GB),0,0,0.299,0.125
Coccinelle (IRE),0,0,0.473,0.325
Liferaft (GB),0,0,0.079,0.019
Flur Na H Alba (GB),1.162,1.449,0.349,0.231
Kings College Boy (GB),0.646,0.348,0.623,0.469
Ushindi (IRE),1.66,1.357,0.413,0.316
Cup Of Love (USA),2.905,2.275,0.663,0.517
Mr Maxim (GB),0,0,0.586,0.37
Three Boars (GB),1.291,0.857,0.59,0.409
Lord Mayfair (USA),0,0,0.166,0.055
Casalese (GB),0,0,0.35,0.145
Hereditary (GB),0,0,0.339,0.163
Emerald Destiny (IRE),0,0,0.208,0.103
Kirkhammerton (IRE),0.894,0.992,0.459,0.314
Roscommon (GB),11.621,5.5,1,1
Dream Mountain (GB),1.937,1.078,0.622,0.481
Mocha Java (GB),0,0,0.499,0.318
Cole (IRE),0,0,0.394,0.196
Queens Bounty (GB),0,0,0.524,0.314
Night Reveller (IRE),0,0,0.093,0.023
Dancing Dane (IRE),0,0,0.169,0.047
Accent (IRE),0,0,0.315,0.124
Rosthwaite (IRE),1.291,0.807,0.725,0.566
Lindus Atenor (GB),3.32,1.541,0.686,0.579
Whipper In (GB),0,0,0.728,0.544
Garlogs (GB),1.291,0.699,0.692,0.524
Capital Lass (GB),2.324,1.946,0.371,0.279
No Overtime (IRE),1.453,1.195,0.417,0.274
John Claude (IRE),1.056,0.62,0.5,0.325
Lyndalee (IRE),1.453,0.928,0.525,0.386
Willmar (IRE),0,0,0.349,0.158
Scherzo A La Russe (USA),0,0,0.356,0.153
Miss Lovat (GB),0.775,0.569,0.359,0.257
Golda Seek (USA),0,0,0.393,0.241
Lord Of The East (GB),3.67,2.095,0.733,0.614
Imperial Echo (USA),0,0,0.552,0.36
Anchor Date (GB),1.162,0.543,0.753,0.614
Phluke (GB),2.905,1.524,0.677,0.58
Our Choice (IRE),2.113,1.107,0.787,0.667
Dilala (IRE),0,0,0.668,0.466
Takrit (IRE),0,0,0.543,0.301
Channel Crossing (GB),0,0,0.443,0.205
Authenticate (GB),1.66,1.1,0.591,0.43
Colloseum (GB),1.056,1.323,0.503,0.363
Neideen (IRE),0,0,0.792,0.635
Viking Star (IRE),0,0,0.327,0.137
Fayrz Please (IRE),0,0,0.192,0.081
Red Light Runner (GB),0,0,0.092,0.008
Night Guest (IRE),0,0,0,0
Red Opera (GB),3.874,0.727,0.712,0.57
Taxman (IRE),0.968,0.709,0.666,0.504
Power Glory (GB),1.453,2.021,0.401,0.263
Finnegans Rainbow (GB),0,0,0.564,0.368
Desert DArgent (IRE),11.621,4.87,1,1
Lipizza (IRE),1.937,1.707,0.666,0.566
Mullady Penelope (GB),0,0,0.607,0.38
Optical Seclusion (IRE),0,0,0.413,0.212
The Salwick Flyer (IRE),0,0,0.401,0.182
Dubai Around (IRE),0,0,0.528,0.314
Mycenean Prince (USA),0,0,0.276,0.085
Beaumont Girl (IRE),1.453,0.929,0.434,0.303
Notte Italiana (IRE),1.453,1.043,0.601,0.491
Dimashq (GB),1.056,1.368,0.546,0.371
Devils Delight (IRE),0,0,0.429,0.235
Scorpio Sally (IRE),0,0,0.444,0.236
Thornton Tara (GB),0,0,0.297,0.141
Scotch House (GB),0,0,0.081,0.01
Flitcroft (IRE),0,0,0,0
Quince (IRE),3.874,3.455,0.543,0.42
Maggies Farm (USA),2.324,1.306,0.577,0.523
Abbey Cat (IRE),1.453,0.564,0.804,0.662
FrankyNJonny (GB),0,0,0.49,0.304
Il Castagno (IRE),1.453,1.263,0.615,0.444
Not Allowed (GB),0,0,0.498,0.283
Flying Key (IRE),2.905,1.924,0.645,0.487
North Walk (IRE),3.32,2.541,0.689,0.544
Spasiba (GB),0,0,0.219,0.057
Mormeatmic (GB),0,0,0.448,0.271
Merrymaker (GB),0.775,0.579,0.591,0.411
Zalimar (IRE),2.905,0.839,0.767,0.669
Charlotte Vale (GB),2.324,1.889,0.714,0.57
Bronze Dancer (IRE),0,0,0.422,0.272
Market Trend (GB),1.937,1.724,0.407,0.299
