horse,IV,A/E,PRB,PRB2
Spitting Image (IRE),2.051,1.217,0.594,0.452
Next Flight (IRE),1.937,1.456,0.667,0.511
Faraway Echo (GB),1.66,1.357,0.318,0.216
Sun HillI (GB),0.726,0.576,0.466,0.301
Broughton Knows (GB),1.937,1.301,0.516,0.356
Merryvale Man (GB),0,0,0.388,0.225
Claradotnet (GB),0,0,0.458,0.258
Tancred Imp (GB),0,0,0.27,0.081
Sonoma (IRE),0,0,0.372,0.175
Little Tobias (IRE),0,0,0.307,0.171
Le Soleil (GER),1.66,1.346,0.355,0.225
Ashes (IRE),2.051,1.216,0.579,0.443
Brut (GB),0.612,0.384,0.656,0.509
Our Little Secret (IRE),0.968,0.895,0.657,0.506
In Rhubarb (GB),0,0,0.417,0.279
Ben Casey (GB),0,0,0.607,0.435
Pedlar Of Dreams (IRE),0,0,0.355,0.156
Branston Lily (GB),0,0,0.214,0.084
Daisy Pooter (IRE),0,0,0.461,0.231
Next Time (IRE),0,0,0.366,0.166
Lord John (GB),0,0,0.308,0.095
Danethorpe Lady (IRE),0,0,0.232,0.065
Chairman Rick (IRE),0,0,0.4,0.217
Street Ballad (IRE),0,0,0.388,0.23
Small Time Blues (IRE),0,0,0.245,0.103
The Number (GB),1.367,1.673,0.27,0.167
Francis Flute (GB),0,0,0.676,0.494
Golden Spectrum (IRE),1.585,0.92,0.643,0.522
Luke After Me (IRE),0,0,0.68,0.493
Ballybunion (IRE),1.66,0.867,0.658,0.51
First Maite (GB),0,0,0.569,0.396
Alafzar (IRE),0,0,0.555,0.37
Candleriggs (IRE),0,0,0.496,0.322
Royal Windmill (IRE),0,0,0.513,0.37
Marcus Eile (IRE),0,0,0.492,0.331
The Loose Screw (IRE),0,0,0.469,0.252
Lord Baskerville (GB),0,0,0.452,0.295
Inch High (GB),0,0,0.369,0.202
Naughty Girl (IRE),1.937,2.731,0.363,0.224
Mehmaas (GB),0,0,0.384,0.222
Poetry n Passion (GB),0,0,0.077,0.006
El Palmar (GB),1.66,0.763,0.582,0.439
Far Pavilions (GB),5.811,3.401,0.699,0.633
Greenwich Meantime (GB),3.486,1.131,0.828,0.729
Jeepstar (GB),0.968,0.729,0.68,0.526
Into The Shadows (GB),2.113,0.983,0.651,0.511
Tight Squeeze (GB),0.505,0.379,0.555,0.369
Thewhirlingdervish (IRE),0,0,0.528,0.289
Millagros (IRE),2.179,1.334,0.662,0.51
Richtee (IRE),2.905,1.328,0.512,0.365
Turn n Burn (GB),1.291,1.84,0.478,0.317
Colway Ritz (GB),0,0,0.432,0.206
Border Tale (GB),0.775,1.019,0.366,0.218
Manoubi (GB),0,0,0.388,0.206
Yenaled (GB),1.056,0.919,0.429,0.284
Ballyhurry (USA),1.743,1.175,0.627,0.44
Hazewind (GB),0.775,0.538,0.552,0.391
Locombe Hill (IRE),0.775,0.464,0.521,0.369
Thornaby Green (GB),0.581,0.383,0.584,0.393
Bailieborough (IRE),3.228,1.864,0.647,0.51
Qualitair Wings (GB),1.291,1.258,0.715,0.549
La Vie Est Belle (GB),0,0,0.524,0.392
Aventura (IRE),2.324,2.217,0.622,0.458
Bollin Edward (GB),0.894,0.68,0.58,0.392
Trifti (GB),3.32,4.076,0.627,0.469
Go Solo (GB),2.905,1.723,0.648,0.505
Heversham (IRE),0,0,0.241,0.091
Whinhill House (GB),4.282,2.672,0.637,0.534
Growler (GB),2.583,4.616,0.368,0.263
Scotland The Brave (GB),1.162,0.986,0.548,0.402
Matsunosuke (GB),2.113,3.281,0.466,0.348
Arties Lad (IRE),0,0,0.461,0.291
Why Now (GB),3.32,2.105,0.783,0.643
Farthing (IRE),0,0,0.485,0.304
Kentucky Express (GB),0,0,0.337,0.181
Constructor (GB),0,0,0.568,0.415
Balgarth (USA),0,0,0.283,0.141
Phi Phi (IRE),1.66,1.872,0.522,0.364
Irish Piper (GB),0,0,0.358,0.135
Ice Planet (GB),3.169,1.413,0.768,0.645
Ribbons Of Gold (GB),0,0,0.287,0.133
Sahara Sunset (IRE),0,0,0.063,0.008
Zagreus (GER),0,0,0.347,0.195
Spring Time Girl (GB),0.968,1.165,0.612,0.462
Royal Flynn (GB),1.162,0.929,0.441,0.356
Figaros Quest (IRE),0,0,0.607,0.432
Indonesia (GB),0,0,0.576,0.416
