damsire,IV,A/E,PRB,PRB2
Wattlefield,0.664,1.042,0.268,0.159
Double Schwartz,0.83,0.677,0.501,0.358
Nijin,0,0,0.307,0.149
Owington,1.341,1.117,0.526,0.377
Rusticaro,0.765,0.844,0.434,0.284
Lycius,0.936,0.824,0.525,0.362
Elbio,1.004,1.057,0.42,0.279
Dowsing,0.915,0.763,0.502,0.35
Zilzal,1.367,1.08,0.5,0.36
Reasonable,0.375,0.432,0.451,0.283
Soviet Star,1.034,0.905,0.522,0.367
Unfuwain,0.773,0.634,0.478,0.324
Interrex,0.726,0.547,0.375,0.25
Treasure Kay,0.569,0.601,0.466,0.316
Environment Friend,0.84,0.802,0.481,0.328
Lord Gayle,0.805,0.61,0.47,0.316
Arazi,1.207,0.951,0.524,0.368
Tumble Wind I,0.689,0.665,0.465,0.315
Alysheba,1.386,0.744,0.542,0.399
Beveled,0.349,0.391,0.461,0.299
Brief Truce,0.933,0.786,0.482,0.321
Fayruz,0.728,0.65,0.467,0.31
Headin Up,0,0,0.262,0.148
Dayjur,1.157,0.775,0.552,0.414
Ridgewood Ben,0,0,0.529,0.351
Artaius,0.641,0.568,0.549,0.389
Barathea,1.007,0.786,0.489,0.343
Ballacashtal,0.83,0.905,0.462,0.319
Superpower,0.755,0.812,0.455,0.299
Shernazar,1.021,0.953,0.475,0.33
Petoski,1.031,0.978,0.469,0.324
Anitas Prince,0.523,0.471,0.449,0.3
Opening Verse,0,0,0.485,0.326
Sabrehill,0.756,0.767,0.462,0.31
Midyan,1.272,1.247,0.512,0.36
Ajraas,0,0,0.344,0.193
Presidium,0.604,0.702,0.417,0.286
Tachypous,0,0,0.142,0.048
Magical Wonder,0.726,0.577,0.484,0.328
Habitat,1.205,0.925,0.515,0.37
Old Vic,0.674,0.602,0.455,0.315
Fabulous Dancer,0.272,0.249,0.414,0.255
Dont Forget Me,0.609,0.573,0.466,0.305
Lords,0,0,0.262,0.131
Lucky Wednesday,0.612,0.834,0.432,0.281
Inchinor,0.652,0.566,0.434,0.281
Homebuilder,0,0,0.2,0.06
Diesis,1.05,0.789,0.499,0.357
Random Shot,0.5,0.444,0.427,0.277
Noble Patriarch,0.447,0.51,0.483,0.336
Hansel,1.403,1.172,0.515,0.373
Jade Hunter,2.086,1.525,0.649,0.517
Posse I,0.62,0.711,0.43,0.275
Lammtarra,1.902,1.397,0.537,0.384
Terimon,1.379,0.937,0.529,0.378
Twilight Agenda,0.484,0.363,0.54,0.353
Wuzo,0,0,0.115,0.023
Sheikh Albadou,1.376,1.214,0.524,0.378
Miswaki Tern,3.099,1.205,0.834,0.733
Deploy,0.874,0.663,0.552,0.401
Septieme Ciel,0.628,0.563,0.444,0.279
Sylvan Express,1.453,1.237,0.572,0.4
Hallgate,1.038,1.039,0.432,0.291
Ardkinglass,1.709,1.243,0.526,0.386
Magic Ring,0.618,0.444,0.514,0.362
Acatenango,1.618,0.985,0.573,0.422
Shahrastani,1.092,1.058,0.498,0.348
Baptism,0.447,0.41,0.408,0.261
Seattle Dancer,1.256,0.799,0.526,0.372
Tel Quel,0,0,0.41,0.284
Lord Avie,0.861,1.162,0.392,0.236
Royal Abjar,0.646,0.603,0.516,0.342
Concordes Tune,0,0,0.383,0.208
Always Fair,1.529,1.287,0.563,0.433
Linamix,1.367,0.872,0.528,0.383
Rambo Dancer,0.553,0.496,0.475,0.324
Kings Signet,0,0,0.17,0.088
Standaan,0.658,0.634,0.502,0.342
Statoblest,1.155,0.865,0.532,0.386
Most Secret,0.298,0.311,0.525,0.346
Green Forest,0.942,0.91,0.54,0.384
Weldnaas,0.646,0.714,0.441,0.289
Beverley Boy,0,0,0.364,0.184
Rock City,1.028,0.7,0.545,0.391
Relko,0,0,0.482,0.305
Dalsaan,0.807,0.727,0.45,0.301
Timeless Native,0,0,0.302,0.161
Perugino,0.471,0.508,0.458,0.302
Picea,0,0,0.123,0.035
Timeless Times,1.096,1.673,0.411,0.262
Precious Metal,0.968,1.067,0.511,0.355
Native Bazaar,0.283,0.393,0.422,0.259
Burslem,1.045,0.76,0.59,0.442
Cure The Blues,0.894,0.733,0.471,0.339
Dehere,1.291,1.793,0.388,0.242
Blue Cashmere,0.861,0.879,0.45,0.299
Dreams To Reality I,0,0,0.337,0.185
Ilium,2.051,1.561,0.517,0.417
Mr Prospector,1.679,1.084,0.551,0.405
Hawaii,0,0,0.258,0.09
Mark Of Esteem,1.291,1.16,0.513,0.358
Zafonic,0.933,0.696,0.503,0.349
Sure Blade,1.367,1.24,0.477,0.337
Hernando,0.474,0.49,0.471,0.311
Alleging,0.801,0.644,0.506,0.36
Northern Baby,0.379,0.315,0.475,0.33
Doulab,0.387,0.371,0.5,0.327
So Factual,1.55,0.861,0.521,0.402
Seattle Slew,1.356,0.939,0.513,0.376
Music Maestro,1.55,1.069,0.61,0.441
Storm Cat,1.302,0.983,0.54,0.394
Nijinsky,1.051,0.748,0.5,0.358
Enchantment I,0.581,1.128,0.245,0.143
Secretariat,1.436,1.143,0.532,0.385
Prized,0,0,0.266,0.152
Welsh Pageant,1.259,1.016,0.504,0.374
Fair Season,1.835,1.459,0.512,0.375
Blues Traveller,0.484,0.465,0.468,0.307
Bold Ruckus,0.83,0.554,0.488,0.298
Take Me Out,0,0,0.393,0.241
Rousillon,1.614,1.197,0.547,0.407
Quest For Fame,0.968,0.409,0.594,0.444
Dance In Time,1.117,0.685,0.544,0.396
Forty Niner,1.245,0.989,0.454,0.328
Nordico,0.91,0.778,0.488,0.346
Tremblant,0.465,0.549,0.409,0.261
Noalto,0.968,0.745,0.513,0.361
Imp Society,1.367,1.628,0.533,0.392
Batshoof,0.945,0.805,0.532,0.383
Namaqualand,1.033,0.9,0.503,0.346
Toca Madera,1.55,1.23,0.526,0.365
Tower Walk,0,0,0.398,0.234
Second Set,1.291,1.056,0.519,0.373
Governor General,0.352,0.439,0.292,0.174
Neltino,0.883,0.829,0.531,0.376
Air Trooper I,2.324,1.542,0.486,0.378
Salt Dome,0.758,0.776,0.457,0.305
Persepolis,1.162,0.911,0.471,0.322
Colonel Collins,1.367,1.439,0.477,0.357
Godswalk,0.822,0.656,0.502,0.359
Suave Dancer,1.392,1.094,0.514,0.373
Anfield I,0.394,0.563,0.405,0.257
Chromite,0.83,0.649,0.536,0.366
Shy Groom,0.872,0.879,0.466,0.304
Tate Gallery,1.346,0.913,0.51,0.377
Robin Des Pins,0,0,0.5,0.341
Dolphin Street,1.276,1.229,0.429,0.294
Copelan,0.775,0.585,0.319,0.186
